count mapname winrole
122248 KANAL Attacker
127134 KANAL Defender
121794 OREGON Attacker
126871 OREGON Defender
122763 PLANE Attacker
129432 PLANE Defender
125258 SKYSCRAPER Attacker
127379 SKYSCRAPER Defender
126227 YACHT Attacker
125103 YACHT Defender
119566 BANK Attacker
131454 BANK Defender
115632 BARTLETT_U. Attacker
133384 BARTLETT_U. Defender
123768 BORDER Attacker
126454 BORDER Defender
135436 CHALET Attacker
114178 CHALET Defender
127102 CLUB_HOUSE Attacker
119912 CLUB_HOUSE Defender
118071 COASTLINE Attacker
111229 COASTLINE Defender
121771 CONSULATE Attacker
128871 CONSULATE Defender
134766 FAVELAS Attacker
113459 FAVELAS Defender
126998 HEREFORD_BASE Attacker
135288 HEREFORD_BASE Defender
141327 HOUSE Attacker
119043 HOUSE Defender
126246 KAFE_DOSTOYEVSKY Attacker
117493 KAFE_DOSTOYEVSKY Defender
124067 KANAL Attacker
126473 KANAL Defender
127071 OREGON Attacker
128601 OREGON Defender
125071 PLANE Attacker
133257 PLANE Defender
124913 SKYSCRAPER Attacker
121051 SKYSCRAPER Defender
125278 YACHT Attacker
122770 YACHT Defender
122814 BANK Attacker
136089 BANK Defender
117817 BARTLETT_U. Attacker
133562 BARTLETT_U. Defender
125437 BORDER Attacker
125656 BORDER Defender
136267 CHALET Attacker
116301 CHALET Defender
131419 CLUB_HOUSE Attacker
124989 CLUB_HOUSE Defender
104609 COASTLINE Attacker
98157 COASTLINE Defender
120984 CONSULATE Attacker
127522 CONSULATE Defender
138248 FAVELAS Attacker
117490 FAVELAS Defender
124370 HEREFORD_BASE Attacker
131479 HEREFORD_BASE Defender
141099 HOUSE Attacker
120087 HOUSE Defender
124926 KAFE_DOSTOYEVSKY Attacker
123402 KAFE_DOSTOYEVSKY Defender
123802 KANAL Attacker
126941 KANAL Defender
128874 OREGON Attacker
128661 OREGON Defender
120688 PLANE Attacker
131461 PLANE Defender
126123 SKYSCRAPER Attacker
124191 SKYSCRAPER Defender
124387 YACHT Attacker
122148 YACHT Defender
121591 BANK Attacker
133617 BANK Defender
115619 BARTLETT_U. Attacker
131544 BARTLETT_U. Defender
123315 BORDER Attacker
124347 BORDER Defender
139634 CHALET Attacker
116689 CHALET Defender
130449 CLUB_HOUSE Attacker
125456 CLUB_HOUSE Defender
103043 COASTLINE Attacker
94598 COASTLINE Defender
126349 CONSULATE Attacker
133185 CONSULATE Defender
135845 FAVELAS Attacker
114834 FAVELAS Defender
124285 HEREFORD_BASE Attacker
131664 HEREFORD_BASE Defender
139772 HOUSE Attacker
120159 HOUSE Defender
125581 KAFE_DOSTOYEVSKY Attacker
121720 KAFE_DOSTOYEVSKY Defender
124934 KANAL Attacker
126842 KANAL Defender
125801 OREGON Attacker
128707 OREGON Defender
122134 PLANE Attacker
135763 PLANE Defender
125939 SKYSCRAPER Attacker
124987 SKYSCRAPER Defender
128062 YACHT Attacker
123535 YACHT Defender
115585 BANK Attacker
129609 BANK Defender
113180 BARTLETT_U. Attacker
132665 BARTLETT_U. Defender
123902 BORDER Attacker
129220 BORDER Defender
133620 CHALET Attacker
114285 CHALET Defender
127410 CLUB_HOUSE Attacker
121319 CLUB_HOUSE Defender
103420 COASTLINE Attacker
100623 COASTLINE Defender
123264 CONSULATE Attacker
131061 CONSULATE Defender
137055 FAVELAS Attacker
114579 FAVELAS Defender
123040 HEREFORD_BASE Attacker
131139 HEREFORD_BASE Defender
145357 HOUSE Attacker
123745 HOUSE Defender
127274 KAFE_DOSTOYEVSKY Attacker
125402 KAFE_DOSTOYEVSKY Defender
127659 KANAL Attacker
130745 KANAL Defender
127450 OREGON Attacker
127960 OREGON Defender
122227 PLANE Attacker
132493 PLANE Defender
127659 SKYSCRAPER Attacker
129981 SKYSCRAPER Defender
123461 YACHT Attacker
123611 YACHT Defender
116937 BANK Attacker
126176 BANK Defender
118277 BARTLETT_U. Attacker
133313 BARTLETT_U. Defender
122644 BORDER Attacker
125732 BORDER Defender
138119 CHALET Attacker
117668 CHALET Defender
130344 CLUB_HOUSE Attacker
120321 CLUB_HOUSE Defender
125098 COASTLINE Attacker
121658 COASTLINE Defender
119347 CONSULATE Attacker
125416 CONSULATE Defender
138539 FAVELAS Attacker
114803 FAVELAS Defender
124744 HEREFORD_BASE Attacker
126565 HEREFORD_BASE Defender
140665 HOUSE Attacker
121323 HOUSE Defender
125912 KAFE_DOSTOYEVSKY Attacker
122273 KAFE_DOSTOYEVSKY Defender
124050 KANAL Attacker
124504 KANAL Defender
124941 OREGON Attacker
126568 OREGON Defender
122715 PLANE Attacker
126737 PLANE Defender
121781 SKYSCRAPER Attacker
121655 SKYSCRAPER Defender
128502 YACHT Attacker
122673 YACHT Defender
117400 BANK Attacker
128898 BANK Defender
111516 BARTLETT_U. Attacker
130767 BARTLETT_U. Defender
121519 BORDER Attacker
123576 BORDER Defender
134408 CHALET Attacker
115792 CHALET Defender
128116 CLUB_HOUSE Attacker
123433 CLUB_HOUSE Defender
120011 COASTLINE Attacker
119689 COASTLINE Defender
119550 CONSULATE Attacker
129222 CONSULATE Defender
132756 FAVELAS Attacker
114236 FAVELAS Defender
124911 HEREFORD_BASE Attacker
135141 HEREFORD_BASE Defender
140419 HOUSE Attacker
121101 HOUSE Defender
126188 KAFE_DOSTOYEVSKY Attacker
125652 KAFE_DOSTOYEVSKY Defender
121836 KANAL Attacker
126447 KANAL Defender
125149 OREGON Attacker
128977 OREGON Defender
119758 PLANE Attacker
129284 PLANE Defender
126175 SKYSCRAPER Attacker
128288 SKYSCRAPER Defender
125854 YACHT Attacker
123931 YACHT Defender
116717 BANK Attacker
129326 BANK Defender
112970 BARTLETT_U. Attacker
130957 BARTLETT_U. Defender
124983 BORDER Attacker
126466 BORDER Defender
136116 CHALET Attacker
116124 CHALET Defender
126901 CLUB_HOUSE Attacker
121365 CLUB_HOUSE Defender
130033 COASTLINE Attacker
124675 COASTLINE Defender
119913 CONSULATE Attacker
125065 CONSULATE Defender
138114 FAVELAS Attacker
114900 FAVELAS Defender
118237 HEREFORD_BASE Attacker
126708 HEREFORD_BASE Defender
139491 HOUSE Attacker
120273 HOUSE Defender
125262 KAFE_DOSTOYEVSKY Attacker
123119 KAFE_DOSTOYEVSKY Defender
123764 KANAL Attacker
123932 KANAL Defender
125769 OREGON Attacker
126541 OREGON Defender
124383 PLANE Attacker
129475 PLANE Defender
123183 SKYSCRAPER Attacker
125992 SKYSCRAPER Defender
124711 YACHT Attacker
124535 YACHT Defender
120034 BANK Attacker
131723 BANK Defender
110996 BARTLETT_U. Attacker
131292 BARTLETT_U. Defender
125055 BORDER Attacker
127564 BORDER Defender
138642 CHALET Attacker
118182 CHALET Defender
128071 CLUB_HOUSE Attacker
122932 CLUB_HOUSE Defender
115691 COASTLINE Attacker
113088 COASTLINE Defender
121678 CONSULATE Attacker
126807 CONSULATE Defender
136507 FAVELAS Attacker
116026 FAVELAS Defender
120793 HEREFORD_BASE Attacker
128460 HEREFORD_BASE Defender
137260 HOUSE Attacker
119632 HOUSE Defender
126503 KAFE_DOSTOYEVSKY Attacker
121719 KAFE_DOSTOYEVSKY Defender
122308 KANAL Attacker
125147 KANAL Defender
125145 OREGON Attacker
127616 OREGON Defender
121484 PLANE Attacker
132407 PLANE Defender
124051 SKYSCRAPER Attacker
124730 SKYSCRAPER Defender
129082 YACHT Attacker
129375 YACHT Defender
115076 BANK Attacker
130943 BANK Defender
114736 BARTLETT_U. Attacker
134869 BARTLETT_U. Defender
123625 BORDER Attacker
129062 BORDER Defender
134895 CHALET Attacker
117735 CHALET Defender
125448 CLUB_HOUSE Attacker
120894 CLUB_HOUSE Defender
114354 COASTLINE Attacker
111243 COASTLINE Defender
120713 CONSULATE Attacker
127230 CONSULATE Defender
134403 FAVELAS Attacker
115152 FAVELAS Defender
123685 HEREFORD_BASE Attacker
131135 HEREFORD_BASE Defender
142109 HOUSE Attacker
120889 HOUSE Defender
126783 KAFE_DOSTOYEVSKY Attacker
126880 KAFE_DOSTOYEVSKY Defender
127464 KANAL Attacker
130032 KANAL Defender
125670 OREGON Attacker
130984 OREGON Defender
117951 PLANE Attacker
126270 PLANE Defender
124610 SKYSCRAPER Attacker
124158 SKYSCRAPER Defender
126053 YACHT Attacker
124949 YACHT Defender
122364 BANK Attacker
137295 BANK Defender
113868 BARTLETT_U. Attacker
131570 BARTLETT_U. Defender
121372 BORDER Attacker
124273 BORDER Defender
136977 CHALET Attacker
116026 CHALET Defender
126597 CLUB_HOUSE Attacker
119489 CLUB_HOUSE Defender
109367 COASTLINE Attacker
100948 COASTLINE Defender
122473 CONSULATE Attacker
130797 CONSULATE Defender
135125 FAVELAS Attacker
114909 FAVELAS Defender
120077 HEREFORD_BASE Attacker
124707 HEREFORD_BASE Defender
140176 HOUSE Attacker
123177 HOUSE Defender
129676 KAFE_DOSTOYEVSKY Attacker
125416 KAFE_DOSTOYEVSKY Defender
123878 KANAL Attacker
127805 KANAL Defender
126521 OREGON Attacker
128435 OREGON Defender
120456 PLANE Attacker
135380 PLANE Defender
129983 SKYSCRAPER Attacker
126676 SKYSCRAPER Defender
127238 YACHT Attacker
126949 YACHT Defender
116597 BANK Attacker
132703 BANK Defender
111692 BARTLETT_U. Attacker
129849 BARTLETT_U. Defender
128009 BORDER Attacker
132978 BORDER Defender
136306 CHALET Attacker
114753 CHALET Defender
130508 CLUB_HOUSE Attacker
126867 CLUB_HOUSE Defender
116971 COASTLINE Attacker
114310 COASTLINE Defender
121396 CONSULATE Attacker
130092 CONSULATE Defender
134482 FAVELAS Attacker
111954 FAVELAS Defender
122093 HEREFORD_BASE Attacker
132758 HEREFORD_BASE Defender
142669 HOUSE Attacker
121617 HOUSE Defender
121564 KAFE_DOSTOYEVSKY Attacker
121583 KAFE_DOSTOYEVSKY Defender
121925 KANAL Attacker
125257 KANAL Defender
123354 OREGON Attacker
126934 OREGON Defender
118678 PLANE Attacker
127472 PLANE Defender
123587 SKYSCRAPER Attacker
125870 SKYSCRAPER Defender
126549 YACHT Attacker
128623 YACHT Defender
119568 BANK Attacker
130875 BANK Defender
116884 BARTLETT_U. Attacker
136098 BARTLETT_U. Defender
122879 BORDER Attacker
127694 BORDER Defender
133790 CHALET Attacker
113642 CHALET Defender
127762 CLUB_HOUSE Attacker
119599 CLUB_HOUSE Defender
126015 COASTLINE Attacker
121620 COASTLINE Defender
122213 CONSULATE Attacker
129365 CONSULATE Defender
131984 FAVELAS Attacker
113018 FAVELAS Defender
121508 HEREFORD_BASE Attacker
127878 HEREFORD_BASE Defender
143942 HOUSE Attacker
122707 HOUSE Defender
122695 KAFE_DOSTOYEVSKY Attacker
118869 KAFE_DOSTOYEVSKY Defender
120150 KANAL Attacker
122001 KANAL Defender
126255 OREGON Attacker
125400 OREGON Defender
125484 PLANE Attacker
132328 PLANE Defender
124182 SKYSCRAPER Attacker
122149 SKYSCRAPER Defender
127064 YACHT Attacker
124382 YACHT Defender
117098 BANK Attacker
133960 BANK Defender
113724 BARTLETT_U. Attacker
129361 BARTLETT_U. Defender
120676 BORDER Attacker
122964 BORDER Defender
133941 CHALET Attacker
112955 CHALET Defender
129228 CLUB_HOUSE Attacker
122019 CLUB_HOUSE Defender
119679 COASTLINE Attacker
116882 COASTLINE Defender
121166 CONSULATE Attacker
129466 CONSULATE Defender
135509 FAVELAS Attacker
115722 FAVELAS Defender
124750 HEREFORD_BASE Attacker
130593 HEREFORD_BASE Defender
140213 HOUSE Attacker
122285 HOUSE Defender
127351 KAFE_DOSTOYEVSKY Attacker
122645 KAFE_DOSTOYEVSKY Defender
121553 KANAL Attacker
121597 KANAL Defender
125649 OREGON Attacker
129124 OREGON Defender
124193 PLANE Attacker
131330 PLANE Defender
128648 SKYSCRAPER Attacker
126382 SKYSCRAPER Defender
125565 YACHT Attacker
123772 YACHT Defender
57459 BANK Attacker
64687 BANK Defender
55269 BARTLETT_U. Attacker
63470 BARTLETT_U. Defender
58673 BORDER Attacker
60059 BORDER Defender
67421 CHALET Attacker
54171 CHALET Defender
63403 CLUB_HOUSE Attacker
59544 CLUB_HOUSE Defender
57164 COASTLINE Attacker
56177 COASTLINE Defender
59571 CONSULATE Attacker
62223 CONSULATE Defender
65528 FAVELAS Attacker
54912 FAVELAS Defender
57882 HEREFORD_BASE Attacker
61765 HEREFORD_BASE Defender
67917 HOUSE Attacker
59403 HOUSE Defender
62384 KAFE_DOSTOYEVSKY Attacker
60458 KAFE_DOSTOYEVSKY Defender
61007 KANAL Attacker
61416 KANAL Defender
59629 OREGON Attacker
62651 OREGON Defender
60471 PLANE Attacker
63825 PLANE Defender
60142 SKYSCRAPER Attacker
61645 SKYSCRAPER Defender
59208 YACHT Attacker
60178 YACHT Defender
