count haswon primaryweapon
108233 1 L85A2
21781 1 M1014
62601 1 M12
2781 1 M249
44992 1 M590A1
9874 1 M870
31625 1 MK17_CQB
97766 1 MP5
72756 1 MP5K
21259 1 MP5SD
103874 1 MP7
73830 1 MPX
65030 1 OTs-03
18226 1 P90
29396 1 PARA-308
17030 1 PDW9
100071 1 R4-C
7483 1 SASG-12
5538 1 SG-CQB
9716 1 SPAS-12
25167 1 SPAS-15
4663 1 SR-25
6597 1 SUPER_90
47406 1 Shield
5952 1 SuperNova
101679 1 TYPE-89
89013 1 UMP45
71472 1 VECTOR_.45_ACP
131382 0 416-C_CARBINE
16282 0 552_COMMANDO
93015 0 556XI
12614 0 6P41
57448 0 9mm_C1
46689 0 9x19VSN
74402 0 AK-12
27963 0 AR33
13530 0 AUG_A2
72533 0 C7E
32117 0 C8-SFW
14532 0 CAMRS
87264 0 F2
36903 0 FMG-9
31268 0 G36C
4036 0 G8A1
9065 0 HK417
2295 0 ITA12L
101688 0 L85A2
25530 0 M1014
58477 0 M12
2729 0 M249
39246 0 M590A1
11142 0 M870
30991 0 MK17_CQB
94571 0 MP5
73672 0 MP5K
15916 0 MP5SD
94937 0 MP7
65818 0 MPX
55245 0 OTs-03
20527 0 P90
27896 0 PARA-308
17960 0 PDW9
88055 0 R4-C
8698 0 SASG-12
6804 0 SG-CQB
10713 0 SPAS-12
32315 0 SPAS-15
5164 0 SR-25
6165 0 SUPER_90
55669 0 Shield
5430 0 SuperNova
91266 0 TYPE-89
87274 0 UMP45
67633 0 VECTOR_.45_ACP
138884 1 416-C_CARBINE
17087 1 552_COMMANDO
96926 1 556XI
12386 1 6P41
65493 1 9mm_C1
46005 1 9x19VSN
76768 1 AK-12
28412 1 AR33
13360 1 AUG_A2
76673 1 C7E
32454 1 C8-SFW
14757 1 CAMRS
94522 1 F2
36468 1 FMG-9
32501 1 G36C
3735 1 G8A1
8477 1 HK417
2230 1 ITA12L
106041 1 L85A2
24219 1 M1014
61849 1 M12
2623 1 M249
38918 1 M590A1
10042 1 M870
32293 1 MK17_CQB
103426 1 MP5
75311 1 MP5K
16527 1 MP5SD
98972 1 MP7
70311 1 MPX
55750 1 OTs-03
20167 1 P90
28707 1 PARA-308
18332 1 PDW9
93479 1 R4-C
7549 1 SASG-12
6105 1 SG-CQB
11000 1 SPAS-12
34223 1 SPAS-15
4798 1 SR-25
6576 1 SUPER_90
52846 1 Shield
5371 1 SuperNova
96377 1 TYPE-89
86836 1 UMP45
69345 1 VECTOR_.45_ACP
132979 0 416-C_CARBINE
15837 0 552_COMMANDO
92341 0 556XI
11574 0 6P41
57445 0 9mm_C1
45806 0 9x19VSN
68339 0 AK-12
27775 0 AR33
11505 0 AUG_A2
57282 0 C7E
32848 0 C8-SFW
13589 0 CAMRS
85278 0 F2
38805 0 FMG-9
31625 0 G36C
3837 0 G8A1
8159 0 HK417
2203 0 ITA12L
106834 0 L85A2
23626 0 M1014
59304 0 M12
2715 0 M249
45627 0 M590A1
11286 0 M870
30504 0 MK17_CQB
91548 0 MP5
73002 0 MP5K
18452 0 MP5SD
98453 0 MP7
70636 0 MPX
73715 0 OTs-03
18862 0 P90
27733 0 PARA-308
15029 0 PDW9
91630 0 R4-C
8664 0 SASG-12
6350 0 SG-CQB
9864 0 SPAS-12
26317 0 SPAS-15
5074 0 SR-25
6075 0 SUPER_90
55457 0 Shield
5407 0 SuperNova
94125 0 TYPE-89
88948 0 UMP45
61387 0 VECTOR_.45_ACP
140616 1 416-C_CARBINE
16927 1 552_COMMANDO
96109 1 556XI
11905 1 6P41
66155 1 9mm_C1
45746 1 9x19VSN
70378 1 AK-12
28519 1 AR33
11231 1 AUG_A2
60020 1 C7E
32995 1 C8-SFW
13489 1 CAMRS
93166 1 F2
38565 1 FMG-9
32853 1 G36C
3597 1 G8A1
7627 1 HK417
2077 1 ITA12L
110182 1 L85A2
22593 1 M1014
62741 1 M12
2604 1 M249
45429 1 M590A1
10047 1 M870
31151 1 MK17_CQB
99394 1 MP5
74439 1 MP5K
19600 1 MP5SD
103202 1 MP7
75055 1 MPX
75857 1 OTs-03
18760 1 P90
28106 1 PARA-308
15845 1 PDW9
96711 1 R4-C
7489 1 SASG-12
5552 1 SG-CQB
10075 1 SPAS-12
27655 1 SPAS-15
4592 1 SR-25
6429 1 SUPER_90
53745 1 Shield
5544 1 SuperNova
98939 1 TYPE-89
88696 1 UMP45
63742 1 VECTOR_.45_ACP
136653 0 416-C_CARBINE
15275 0 552_COMMANDO
90809 0 556XI
11215 0 6P41
57060 0 9mm_C1
43875 0 9x19VSN
64239 0 AK-12
26310 0 AR33
11052 0 AUG_A2
52612 0 C7E
32118 0 C8-SFW
12459 0 CAMRS
85678 0 F2
39700 0 FMG-9
30977 0 G36C
3596 0 G8A1
7591 0 HK417
1938 0 ITA12L
101833 0 L85A2
24270 0 M1014
60321 0 M12
2607 0 M249
46602 0 M590A1
12266 0 M870
30084 0 MK17_CQB
93347 0 MP5
69651 0 MP5K
18353 0 MP5SD
102433 0 MP7
74152 0 MPX
84913 0 OTs-03
18529 0 P90
27356 0 PARA-308
14919 0 PDW9
91286 0 R4-C
8602 0 SASG-12
6574 0 SG-CQB
9978 0 SPAS-12
30069 0 SPAS-15
4675 0 SR-25
5909 0 SUPER_90
60222 0 Shield
5189 0 SuperNova
91226 0 TYPE-89
89738 0 UMP45
56935 0 VECTOR_.45_ACP
141261 1 416-C_CARBINE
16161 1 552_COMMANDO
96981 1 556XI
11078 1 6P41
64673 1 9mm_C1
42494 1 9x19VSN
67476 1 AK-12
27505 1 AR33
11235 1 AUG_A2
56146 1 C7E
32975 1 C8-SFW
12767 1 CAMRS
94892 1 F2
37892 1 FMG-9
33071 1 G36C
3407 1 G8A1
7283 1 HK417
1742 1 ITA12L
107849 1 L85A2
22742 1 M1014
62808 1 M12
2525 1 M249
46144 1 M590A1
10764 1 M870
31434 1 MK17_CQB
100360 1 MP5
69477 1 MP5K
19340 1 MP5SD
104984 1 MP7
76678 1 MPX
89555 1 OTs-03
18114 1 P90
28334 1 PARA-308
15183 1 PDW9
98207 1 R4-C
7617 1 SASG-12
5750 1 SG-CQB
9908 1 SPAS-12
31150 1 SPAS-15
4439 1 SR-25
6162 1 SUPER_90
59362 1 Shield
5243 1 SuperNova
97479 1 TYPE-89
86770 1 UMP45
57387 1 VECTOR_.45_ACP
135673 0 416-C_CARBINE
15737 0 552_COMMANDO
90468 0 556XI
11788 0 6P41
66057 0 9mm_C1
41848 0 9x19VSN
62150 0 AK-12
25894 0 AR33
11416 0 AUG_A2
48074 0 C7E
40092 0 C8-SFW
15033 0 CAMRS
85073 0 F2
35764 0 FMG-9
31171 0 G36C
3353 0 G8A1
7476 0 HK417
2002 0 ITA12L
102229 0 L85A2
22295 0 M1014
61071 0 M12
2791 0 M249
48936 0 M590A1
11999 0 M870
31190 0 MK17_CQB
88629 0 MP5
66303 0 MP5K
19535 0 MP5SD
104503 0 MP7
73176 0 MPX
87569 0 OTs-03
17308 0 P90
26088 0 PARA-308
13988 0 PDW9
96617 0 R4-C
8311 0 SASG-12
6266 0 SG-CQB
9112 0 SPAS-12
24575 0 SPAS-15
4585 0 SR-25
7039 0 SUPER_90
57897 0 Shield
5295 0 SuperNova
95815 0 TYPE-89
89067 0 UMP45
54579 0 VECTOR_.45_ACP
144495 1 416-C_CARBINE
16171 1 552_COMMANDO
93780 1 556XI
11508 1 6P41
77006 1 9mm_C1
41547 1 9x19VSN
63184 1 AK-12
25900 1 AR33
11340 1 AUG_A2
49427 1 C7E
40374 1 C8-SFW
14799 1 CAMRS
90776 1 F2
35318 1 FMG-9
32069 1 G36C
3294 1 G8A1
6950 1 HK417
1810 1 ITA12L
105500 1 L85A2
21474 1 M1014
64536 1 M12
2722 1 M249
49001 1 M590A1
10870 1 M870
32010 1 MK17_CQB
96941 1 MP5
68224 1 MP5K
21780 1 MP5SD
109696 1 MP7
78771 1 MPX
89285 1 OTs-03
17278 1 P90
26322 1 PARA-308
14100 1 PDW9
100914 1 R4-C
7460 1 SASG-12
5838 1 SG-CQB
9533 1 SPAS-12
26242 1 SPAS-15
4411 1 SR-25
7689 1 SUPER_90
53847 1 Shield
5284 1 SuperNova
99447 1 TYPE-89
88946 1 UMP45
56294 1 VECTOR_.45_ACP
138064 0 416-C_CARBINE
15397 0 552_COMMANDO
89334 0 556XI
11205 0 6P41
60423 0 9mm_C1
42381 0 9x19VSN
59873 0 AK-12
24932 0 AR33
11629 0 AUG_A2
47311 0 C7E
35562 0 C8-SFW
12831 0 CAMRS
85759 0 F2
36684 0 FMG-9
30978 0 G36C
3454 0 G8A1
7283 0 HK417
1843 0 ITA12L
102487 0 L85A2
23163 0 M1014
61875 0 M12
2791 0 M249
51272 0 M590A1
12425 0 M870
32106 0 MK17_CQB
88875 0 MP5
65210 0 MP5K
20397 0 MP5SD
107462 0 MP7
75249 0 MPX
83889 0 OTs-03
17439 0 P90
26206 0 PARA-308
14663 0 PDW9
99447 0 R4-C
8451 0 SASG-12
6790 0 SG-CQB
9241 0 SPAS-12
25673 0 SPAS-15
4652 0 SR-25
6073 0 SUPER_90
59996 0 Shield
5464 0 SuperNova
95554 0 TYPE-89
89904 0 UMP45
54014 0 VECTOR_.45_ACP
144713 1 416-C_CARBINE
15940 1 552_COMMANDO
93233 1 556XI
11060 1 6P41
69461 1 9mm_C1
41528 1 9x19VSN
62156 1 AK-12
25726 1 AR33
11756 1 AUG_A2
49783 1 C7E
36089 1 C8-SFW
12795 1 CAMRS
93642 1 F2
35204 1 FMG-9
32219 1 G36C
3370 1 G8A1
6735 1 HK417
1676 1 ITA12L
106098 1 L85A2
21818 1 M1014
64495 1 M12
2818 1 M249
50956 1 M590A1
11112 1 M870
33383 1 MK17_CQB
96240 1 MP5
66090 1 MP5K
22354 1 MP5SD
111420 1 MP7
79427 1 MPX
86818 1 OTs-03
16976 1 P90
26955 1 PARA-308
14937 1 PDW9
105889 1 R4-C
7289 1 SASG-12
5956 1 SG-CQB
9410 1 SPAS-12
26803 1 SPAS-15
4512 1 SR-25
6228 1 SUPER_90
56501 1 Shield
5592 1 SuperNova
101576 1 TYPE-89
90067 1 UMP45
55483 1 VECTOR_.45_ACP
134151 0 416-C_CARBINE
16462 0 552_COMMANDO
87479 0 556XI
11950 0 6P41
53895 0 9mm_C1
47563 0 9x19VSN
68119 0 AK-12
26792 0 AR33
12827 0 AUG_A2
67863 0 C7E
32953 0 C8-SFW
14503 0 CAMRS
87293 0 F2
38827 0 FMG-9
30535 0 G36C
4145 0 G8A1
8299 0 HK417
2652 0 ITA12L
103732 0 L85A2
23003 0 M1014
59235 0 M12
2860 0 M249
46984 0 M590A1
11264 0 M870
30775 0 MK17_CQB
90576 0 MP5
69573 0 MP5K
19039 0 MP5SD
100545 0 MP7
70840 0 MPX
58302 0 OTs-03
18579 0 P90
27966 0 PARA-308
17894 0 PDW9
93008 0 R4-C
8795 0 SASG-12
6575 0 SG-CQB
9775 0 SPAS-12
28845 0 SPAS-15
5033 0 SR-25
5756 0 SUPER_90
49837 0 Shield
5852 0 SuperNova
93352 0 TYPE-89
87900 0 UMP45
71053 0 VECTOR_.45_ACP
139308 1 416-C_CARBINE
17146 1 552_COMMANDO
93248 1 556XI
11967 1 6P41
60761 1 9mm_C1
45839 1 9x19VSN
71215 1 AK-12
28193 1 AR33
13031 1 AUG_A2
72986 1 C7E
33875 1 C8-SFW
14624 1 CAMRS
97091 1 F2
37271 1 FMG-9
32529 1 G36C
3962 1 G8A1
7978 1 HK417
2421 1 ITA12L
110058 1 L85A2
21621 1 M1014
61656 1 M12
2716 1 M249
46409 1 M590A1
10236 1 M870
32306 1 MK17_CQB
97146 1 MP5
70416 1 MP5K
19714 1 MP5SD
102698 1 MP7
73953 1 MPX
60615 1 OTs-03
18212 1 P90
29254 1 PARA-308
18794 1 PDW9
100516 1 R4-C
7840 1 SASG-12
5857 1 SG-CQB
9839 1 SPAS-12
29636 1 SPAS-15
4782 1 SR-25
5830 1 SUPER_90
48047 1 Shield
5861 1 SuperNova
101348 1 TYPE-89
85766 1 UMP45
72173 1 VECTOR_.45_ACP
131705 0 416-C_CARBINE
16071 0 552_COMMANDO
91864 0 556XI
12027 0 6P41
57306 0 9mm_C1
44345 0 9x19VSN
71421 0 AK-12
27288 0 AR33
12924 0 AUG_A2
65834 0 C7E
33659 0 C8-SFW
15056 0 CAMRS
88460 0 F2
39292 0 FMG-9
31348 0 G36C
3585 0 G8A1
8578 0 HK417
2170 0 ITA12L
102398 0 L85A2
25944 0 M1014
57386 0 M12
2863 0 M249
47696 0 M590A1
11589 0 M870
30963 0 MK17_CQB
93448 0 MP5
72598 0 MP5K
15158 0 MP5SD
95104 0 MP7
68827 0 MPX
58608 0 OTs-03
20154 0 P90
28394 0 PARA-308
16050 0 PDW9
87201 0 R4-C
8950 0 SASG-12
6974 0 SG-CQB
10909 0 SPAS-12
34517 0 SPAS-15
4938 0 SR-25
6509 0 SUPER_90
57462 0 Shield
5549 0 SuperNova
89155 0 TYPE-89
89635 0 UMP45
61971 0 VECTOR_.45_ACP
137396 1 416-C_CARBINE
17116 1 552_COMMANDO
97224 1 556XI
11917 1 6P41
64683 1 9mm_C1
43676 1 9x19VSN
75063 1 AK-12
28147 1 AR33
13167 1 AUG_A2
69986 1 C7E
34196 1 C8-SFW
15175 1 CAMRS
97706 1 F2
38277 1 FMG-9
33420 1 G36C
3575 1 G8A1
8125 1 HK417
2038 1 ITA12L
107959 1 L85A2
24589 1 M1014
59883 1 M12
2783 1 M249
47013 1 M590A1
10606 1 M870
32175 1 MK17_CQB
100350 1 MP5
73895 1 MP5K
15577 1 MP5SD
98162 1 MP7
72470 1 MPX
60608 1 OTs-03
19502 1 P90
29492 1 PARA-308
16914 1 PDW9
93749 1 R4-C
7762 1 SASG-12
6351 1 SG-CQB
10953 1 SPAS-12
35583 1 SPAS-15
4958 1 SR-25
6977 1 SUPER_90
55429 1 Shield
5345 1 SuperNova
95531 1 TYPE-89
88189 1 UMP45
62425 1 VECTOR_.45_ACP
130578 0 416-C_CARBINE
16505 0 552_COMMANDO
91156 0 556XI
12570 0 6P41
52928 0 9mm_C1
47587 0 9x19VSN
74299 0 AK-12
26899 0 AR33
13159 0 AUG_A2
93660 0 C7E
30618 0 C8-SFW
14238 0 CAMRS
86866 0 F2
35502 0 FMG-9
30794 0 G36C
4683 0 G8A1
10011 0 HK417
3469 0 ITA12L
98492 0 L85A2
27470 0 M1014
57196 0 M12
2894 0 M249
35509 0 M590A1
11094 0 M870
31082 0 MK17_CQB
97603 0 MP5
69892 0 MP5K
15596 0 MP5SD
94031 0 MP7
64220 0 MPX
37051 0 OTs-03
20641 0 P90
28580 0 PARA-308
19295 0 PDW9
87365 0 R4-C
9180 0 SASG-12
6999 0 SG-CQB
11455 0 SPAS-12
28563 0 SPAS-15
5342 0 SR-25
6451 0 SUPER_90
51413 0 Shield
6479 0 SuperNova
90653 0 TYPE-89
85508 0 UMP45
86715 0 VECTOR_.45_ACP
136576 1 416-C_CARBINE
17564 1 552_COMMANDO
96454 1 556XI
12474 1 6P41
59887 1 9mm_C1
45784 1 9x19VSN
77413 1 AK-12
27719 1 AR33
13359 1 AUG_A2
101235 1 C7E
31252 1 C8-SFW
14402 1 CAMRS
96891 1 F2
34057 1 FMG-9
33187 1 G36C
4470 1 G8A1
9452 1 HK417
3287 1 ITA12L
103516 1 L85A2
25640 1 M1014
59503 1 M12
2706 1 M249
35737 1 M590A1
10138 1 M870
32340 1 MK17_CQB
105583 1 MP5
70654 1 MP5K
15685 1 MP5SD
97395 1 MP7
67929 1 MPX
36995 1 OTs-03
20066 1 P90
30415 1 PARA-308
20260 1 PDW9
93679 1 R4-C
8108 1 SASG-12
6235 1 SG-CQB
11644 1 SPAS-12
29924 1 SPAS-15
5247 1 SR-25
6808 1 SUPER_90
48992 1 Shield
6428 1 SuperNova
98117 1 TYPE-89
83764 1 UMP45
88738 1 VECTOR_.45_ACP
132421 0 416-C_CARBINE
16488 0 552_COMMANDO
91478 0 556XI
12185 0 6P41
57843 0 9mm_C1
46335 0 9x19VSN
70627 0 AK-12
29407 0 AR33
12600 0 AUG_A2
60492 0 C7E
32821 0 C8-SFW
14930 0 CAMRS
86957 0 F2
41546 0 FMG-9
31055 0 G36C
3652 0 G8A1
8228 0 HK417
1972 0 ITA12L
110231 0 L85A2
24283 0 M1014
58605 0 M12
2851 0 M249
48743 0 M590A1
11585 0 M870
30984 0 MK17_CQB
89012 0 MP5
75673 0 MP5K
16432 0 MP5SD
97057 0 MP7
70035 0 MPX
60620 0 OTs-03
18505 0 P90
26688 0 PARA-308
15657 0 PDW9
90141 0 R4-C
8616 0 SASG-12
6280 0 SG-CQB
10085 0 SPAS-12
29878 0 SPAS-15
4946 0 SR-25
6034 0 SUPER_90
56484 0 Shield
5230 0 SuperNova
91900 0 TYPE-89
88374 0 UMP45
58474 0 VECTOR_.45_ACP
138654 1 416-C_CARBINE
17124 1 552_COMMANDO
95689 1 556XI
12116 1 6P41
66367 1 9mm_C1
45840 1 9x19VSN
73742 1 AK-12
29955 1 AR33
12488 1 AUG_A2
63638 1 C7E
33434 1 C8-SFW
15026 1 CAMRS
95328 1 F2
40667 1 FMG-9
32821 1 G36C
3508 1 G8A1
7687 1 HK417
1835 1 ITA12L
114860 1 L85A2
22529 1 M1014
61510 1 M12
2636 1 M249
48988 1 M590A1
10377 1 M870
32103 1 MK17_CQB
96903 1 MP5
78229 1 MP5K
17191 1 MP5SD
100716 1 MP7
73776 1 MPX
61804 1 OTs-03
18618 1 P90
27182 1 PARA-308
15858 1 PDW9
95760 1 R4-C
7596 1 SASG-12
5743 1 SG-CQB
10019 1 SPAS-12
31255 1 SPAS-15
4836 1 SR-25
6463 1 SUPER_90
54193 1 Shield
5149 1 SuperNova
97475 1 TYPE-89
87965 1 UMP45
59907 1 VECTOR_.45_ACP
138202 0 416-C_CARBINE
15548 0 552_COMMANDO
87337 0 556XI
11283 0 6P41
55445 0 9mm_C1
48076 0 9x19VSN
62424 0 AK-12
26389 0 AR33
11676 0 AUG_A2
49179 0 C7E
32600 0 C8-SFW
13363 0 CAMRS
85693 0 F2
39864 0 FMG-9
29671 0 G36C
3383 0 G8A1
7299 0 HK417
1803 0 ITA12L
104876 0 L85A2
22544 0 M1014
62509 0 M12
2903 0 M249
52609 0 M590A1
11911 0 M870
30528 0 MK17_CQB
88983 0 MP5
68484 0 MP5K
20601 0 MP5SD
106988 0 MP7
74877 0 MPX
79756 0 OTs-03
17284 0 P90
26509 0 PARA-308
15319 0 PDW9
97000 0 R4-C
8970 0 SASG-12
6564 0 SG-CQB
8989 0 SPAS-12
26136 0 SPAS-15
4739 0 SR-25
5291 0 SUPER_90
56401 0 Shield
5334 0 SuperNova
93906 0 TYPE-89
89832 0 UMP45
55745 0 VECTOR_.45_ACP
142234 1 416-C_CARBINE
16499 1 552_COMMANDO
93254 1 556XI
11440 1 6P41
62490 1 9mm_C1
46545 1 9x19VSN
65888 1 AK-12
27704 1 AR33
11890 1 AUG_A2
53124 1 C7E
34168 1 C8-SFW
13452 1 CAMRS
95170 1 F2
38577 1 FMG-9
31669 1 G36C
3280 1 G8A1
6986 1 HK417
1560 1 ITA12L
111023 1 L85A2
21178 1 M1014
63883 1 M12
2891 1 M249
50861 1 M590A1
10777 1 M870
32560 1 MK17_CQB
95294 1 MP5
67700 1 MP5K
22104 1 MP5SD
108311 1 MP7
77638 1 MPX
84851 1 OTs-03
16739 1 P90
27738 1 PARA-308
16289 1 PDW9
105572 1 R4-C
7707 1 SASG-12
5840 1 SG-CQB
8822 1 SPAS-12
26975 1 SPAS-15
4599 1 SR-25
5523 1 SUPER_90
54548 1 Shield
5316 1 SuperNova
101498 1 TYPE-89
87130 1 UMP45
55880 1 VECTOR_.45_ACP
135609 0 416-C_CARBINE
15423 0 552_COMMANDO
92500 0 556XI
11755 0 6P41
57847 0 9mm_C1
43852 0 9x19VSN
64542 0 AK-12
26100 0 AR33
11571 0 AUG_A2
52029 0 C7E
33187 0 C8-SFW
12771 0 CAMRS
87570 0 F2
36824 0 FMG-9
31212 0 G36C
3406 0 G8A1
7783 0 HK417
1889 0 ITA12L
102238 0 L85A2
24342 0 M1014
60979 0 M12
2836 0 M249
48219 0 M590A1
11873 0 M870
31866 0 MK17_CQB
91300 0 MP5
68741 0 MP5K
18662 0 MP5SD
102626 0 MP7
72645 0 MPX
77758 0 OTs-03
18058 0 P90
27644 0 PARA-308
15887 0 PDW9
95933 0 R4-C
8505 0 SASG-12
6618 0 SG-CQB
9799 0 SPAS-12
27661 0 SPAS-15
4849 0 SR-25
6069 0 SUPER_90
59856 0 Shield
5426 0 SuperNova
93311 0 TYPE-89
89560 0 UMP45
56256 0 VECTOR_.45_ACP
142542 1 416-C_CARBINE
15799 1 552_COMMANDO
96121 1 556XI
11475 1 6P41
66857 1 9mm_C1
43583 1 9x19VSN
66345 1 AK-12
26499 1 AR33
11398 1 AUG_A2
54780 1 C7E
33218 1 C8-SFW
12764 1 CAMRS
95401 1 F2
36325 1 FMG-9
32617 1 G36C
3206 1 G8A1
7369 1 HK417
1778 1 ITA12L
106246 1 L85A2
23009 1 M1014
64238 1 M12
2692 1 M249
47980 1 M590A1
10525 1 M870
33004 1 MK17_CQB
98915 1 MP5
70220 1 MP5K
19915 1 MP5SD
107188 1 MP7
78081 1 MPX
79897 1 OTs-03
18249 1 P90
27827 1 PARA-308
16060 1 PDW9
100488 1 R4-C
7465 1 SASG-12
6106 1 SG-CQB
10102 1 SPAS-12
29126 1 SPAS-15
4553 1 SR-25
6487 1 SUPER_90
57364 1 Shield
5349 1 SuperNova
98260 1 TYPE-89
89384 1 UMP45
57806 1 VECTOR_.45_ACP
138980 0 416-C_CARBINE
15298 0 552_COMMANDO
89776 0 556XI
11023 0 6P41
57689 0 9mm_C1
42106 0 9x19VSN
59409 0 AK-12
24982 0 AR33
11446 0 AUG_A2
46865 0 C7E
32873 0 C8-SFW
11726 0 CAMRS
86528 0 F2
36324 0 FMG-9
30787 0 G36C
3442 0 G8A1
7064 0 HK417
1820 0 ITA12L
101264 0 L85A2
24669 0 M1014
62312 0 M12
2968 0 M249
51155 0 M590A1
12685 0 M870
31755 0 MK17_CQB
89517 0 MP5
64369 0 MP5K
20412 0 MP5SD
108625 0 MP7
75736 0 MPX
83705 0 OTs-03
17897 0 P90
26763 0 PARA-308
15353 0 PDW9
99739 0 R4-C
8288 0 SASG-12
6946 0 SG-CQB
9553 0 SPAS-12
